idJugador,usuario,email,contrasena,clanID
1,Hiroko Moss,hirokomoss@yahoo.com,VBE58UKR3SO,2
2,Karleigh Copeland,karleighcopeland7712@protonmail.org,MWL11YCR7FJ,2
3,Kylee Blankenship,kyleeblankenship9416@google.org,GXY14HVC1TH,1
4,Magee Cash,mageecash5264@hotmail.edu,WDR45JUJ3WO,4
5,Harriet Avila,harrietavila5923@google.ca,XGN95SHJ7BN,1
6,Walter Mosley,waltermosley@yahoo.couk,VWP69NRB6SJ,2
7,Carter Norton,carternorton@icloud.net,ABV60JHJ8FK,4
8,Roanna Meyer,roannameyer5174@icloud.net,YLY21OQI6RE,2
9,Noelle Mcfarland,noellemcfarland@yahoo.edu,NVC24PCL7WS,2
10,Theodore Kirby,theodorekirby@outlook.edu,SKY52TXT6OT,2
11,Aphrodite O'Neill,aphroditeoneill5589@hotmail.org,ORO78HBA6LW,4
12,Rose Montoya,rosemontoya@google.ca,LXU36AZK5TW,3
13,Nora Swanson,noraswanson2778@yahoo.ca,ONV53ECP6PX,3
14,Alisa Melendez,alisamelendez4760@protonmail.edu,CCH63MQD8BS,4
15,Sylvester Kinney,sylvesterkinney565@outlook.org,SBD72YMR8OH,4
16,Damian English,damianenglish2905@protonmail.net,JIK22TBD7SH,4
17,Priscilla Whitehead,priscillawhitehead7208@outlook.com,BOU63KWS5WA,4
18,Dominique Lee,dominiquelee@google.net,CUM93QTS7YI,3
19,Pascale Barrera,pascalebarrera@protonmail.couk,XCX81PZK3VL,4
20,Vernon Mcfarland,vernonmcfarland@hotmail.org,BBI83YVN2CX,2
21,Ori Key,orikey4634@protonmail.net,JVI34HHH1RC,4
22,Lucas Collier,lucascollier1661@aol.com,DFH15PGB7RJ,2
23,Thane Clayton,thaneclayton@icloud.net,HQR72FJW4UB,1
24,Ocean Carey,oceancarey@yahoo.edu,KOX37UQM9MN,2
25,Beau Boyer,beauboyer@protonmail.ca,MII84JYJ2FW,3
26,Tanek Parsons,tanekparsons5171@icloud.couk,OJT42DYB4OB,3
27,Chase Suarez,chasesuarez9737@protonmail.couk,CZC57IWO5YR,3
28,Iona Peters,ionapeters@yahoo.net,XCJ84CTO6BS,2
29,Kadeem Pratt,kadeempratt2332@outlook.com,EXG74MAP2YS,2
30,Ivana Mcneil,ivanamcneil3605@yahoo.ca,COL43TGG6JC,3
31,Madaline Ferrell,madalineferrell@yahoo.couk,LLS22NDD6XM,2
32,Tatiana Solomon,tatianasolomon5800@hotmail.org,QSR44RNW5BH,3
33,Hilel Kirk,hilelkirk@google.org,DLO41HCL6RC,2
